# ============================================
# GAP SWEEP — Modules B & C
# Adaptive Heating + Adaptive Cooldown
# ============================================
# RUN_ID: GAP_SWEEP_005
# GAP_DISTANCE: 3-6um
# MATERIAL_PAIR: SiO2-SiO2
# SPACER_TYPE: microspheres
# RUNS_PER_GAP: 5
# HEAT_MODE: ADAPTIVE (detect steady state via dV/dt)
# HEAT_MIN_MS: 300000
# HEAT_MAX_MS: 1500000
# SS_THRESHOLD: 0.050 mV/s
# SS_WINDOW: 30 sec
# SS_HOLD: 60 sec
# PLATEAU_TIME: 180 sec
# COOL_MODE: ADAPTIVE (wait for ambient)
# COOL_THRESHOLD_C: 3.0
#
# [OK] Heater pins configured, both OFF
# I2C_SCAN_START
#   FOUND 0x48
#   Devices: 1
# I2C_SCAN_END
# ADS1115 init attempt 1/5: SUCCESS
# [OK] ADS1115 GAIN_ONE
# [OK] DHT11: 23.9 C
# SENSOR_VERIFY_START
#   Sample 1: V01=-9.25mV V23=9.25mV Tt=22.5C Tb=22.7C Tamb=23.9C
#   Sample 2: V01=-9.25mV V23=9.25mV Tt=23.0C Tb=22.5C Tamb=23.9C
#   Sample 3: V01=-9.13mV V23=9.13mV Tt=23.2C Tb=22.7C Tamb=23.9C
# SENSOR_VERIFY_END
#
# ============================================
# DIAGNOSTICS COMPLETE
# Starting run 1/3...
# ============================================
time_ms,phase,run,phase_time_ms,sample_num,Vtop_mV,Vbot_mV,Tt_C,Tb_C,dT_C,Vheater_V,Tamb_C,dVdt_mVs
6576,WAIT_AMBIENT,1,0,1,-9.1250,9.1250,24.00,21.50,2.50,-1.00,23.9,-1.0000
7576,WAIT_AMBIENT,1,1000,2,-9.1250,9.1250,22.75,22.50,0.25,-1.00,23.8,-1.0000
8576,WAIT_AMBIENT,1,2000,3,-9.0000,9.1250,23.25,20.50,2.75,-1.00,23.8,-1.0000
9576,WAIT_AMBIENT,1,3000,4,-9.0000,9.1250,21.25,20.00,1.25,-1.00,23.8,-1.0000
10576,WAIT_AMBIENT,1,4000,5,-9.0000,9.0000,22.00,21.50,0.50,-1.00,23.8,-1.0000
11576,WAIT_AMBIENT,1,5000,6,-9.0000,9.0000,22.25,21.75,0.50,-1.00,23.8,-1.0000
12576,WAIT_AMBIENT,1,6000,7,-9.0000,9.0000,22.50,21.75,0.75,-1.00,23.8,-1.0000
13576,WAIT_AMBIENT,1,7000,8,-9.0000,9.0000,22.50,21.75,0.75,-1.00,23.8,-1.0000
14576,WAIT_AMBIENT,1,8000,9,-8.8750,9.0000,22.50,22.25,0.25,-1.00,23.8,-1.0000
15576,WAIT_AMBIENT,1,9000,10,-8.8750,8.8750,22.75,22.25,0.50,-1.00,23.8,-1.0000
16576,WAIT_AMBIENT,1,10000,11,-8.8750,8.8750,21.25,22.00,-0.75,-1.00,23.8,-1.0000
17576,WAIT_AMBIENT,1,11000,12,-8.8750,8.8750,22.25,21.75,0.50,-1.00,23.8,-1.0000
