# ============================================
# GAP SWEEP — Modules B & C
# Adaptive Heating + Adaptive Cooldown
# ============================================
# RUN_ID: GAP_SWEEP_005
# GAP_DISTANCE: 3-6um
# MATERIAL_PAIR: SiO2-SiO2
# SPACER_TYPE: microspheres
# RUNS_PER_GAP: 5
# HEAT_MODE: ADAPTIVE (detect steady state via dV/dt)
# HEAT_MIN_MS: 300000
# HEAT_MAX_MS: 1500000
# SS_THRESHOLD: 0.050 mV/s
# SS_WINDOW: 30 sec
# SS_HOLD: 60 sec
# PLATEAU_TIME: 180 sec
# COOL_MODE: ADAPTIVE (wait for ambient)
# COOL_THRESHOLD_C: 3.0
#
# [OK] Heater pins configured, both OFF
# I2C_SCAN_START
#   FOUND 0x48
#   Devices: 1
# I2C_SCAN_END
# ADS1115 init attempt 1/5: SUCCESS
# [OK] ADS1115 GAIN_ONE
# [OK] DHT11: 24.4 C
# SENSOR_VERIFY_START
#   Sample 1: V01=-6.50mV V23=-1.25mV Tt=28.5C Tb=26.5C Tamb=24.4C
#   Sample 2: V01=-6.25mV V23=-1.25mV Tt=29.0C Tb=29.0C Tamb=24.4C
#   Sample 3: V01=-6.25mV V23=-1.25mV Tt=28.7C Tb=29.2C Tamb=24.4C
# SENSOR_VERIFY_END
#
# ============================================
# DIAGNOSTICS COMPLETE
# Starting run 1/3...
# ============================================
time_ms,phase,run,phase_time_ms,sample_num,Vtop_mV,Vbot_mV,Tt_C,Tb_C,dT_C,Vheater_V,Tamb_C,dVdt_mVs
6579,WAIT_AMBIENT,1,0,1,-6.0000,-1.2500,29.00,29.25,-0.25,-1.00,24.4,-1.0000
7579,WAIT_AMBIENT,1,1000,2,-5.7500,-1.1250,28.25,29.00,-0.75,-1.00,24.4,-1.0000
8579,WAIT_AMBIENT,1,2000,3,-5.5000,-1.1250,28.50,29.00,-0.50,-1.00,24.4,-1.0000
9579,WAIT_AMBIENT,1,3000,4,-5.2500,-1.1250,28.50,29.50,-1.00,-1.00,24.4,-1.0000
10579,WAIT_AMBIENT,1,4000,5,-5.0000,-1.1250,28.25,28.25,0.00,-1.00,24.3,-1.0000
11579,WAIT_AMBIENT,1,5000,6,-4.8750,-1.0000,28.50,28.75,-0.25,-1.00,24.3,-1.0000
12579,WAIT_AMBIENT,1,6000,7,-4.6250,-1.0000,28.25,28.00,0.25,-1.00,24.3,-1.0000
13579,WAIT_AMBIENT,1,7000,8,-4.3750,-1.0000,28.75,29.25,-0.50,-1.00,24.3,-1.0000
14579,WAIT_AMBIENT,1,8000,9,-4.2500,-0.8750,28.25,28.50,-0.25,-1.00,24.3,-1.0000
15579,WAIT_AMBIENT,1,9000,10,-4.0000,-0.8750,28.25,29.25,-1.00,-1.00,24.3,-1.0000
16579,WAIT_AMBIENT,1,10000,11,-3.7500,-0.8750,28.25,29.75,-1.50,-1.00,24.3,-1.0000
17579,WAIT_AMBIENT,1,11000,12,-3.5000,-0.8750,28.50,29.25,-0.75,-1.00,24.3,-1.0000
