pair,condition,pressure_Pa,pressure_Torr,G_rad_W_m2K,G_gas_W_m2K,radiation_fraction
glass-glass,760 Torr (air runs),101324.72,760.0,7.293393163636362,57.188093820398514,0.11310832775060152
glass-glass,36 Torr (vacuum runs),4799.592000000001,36.0,7.293393163636362,56.47554559863974,0.11437218973998242
glass-glass,10.7 Torr (A2 phase),1426.5454,10.7,7.293393163636362,54.78138938885491,0.11749365625999529
glass-glass,Scroll-pump floor (1e-2 mbar),0.999915,0.0075,7.293393163636362,0.8856486266534377,0.89171731244791
glass-glass,New chamber spec (1e-5 mbar),0.000999915,7.5e-06,7.293393163636362,0.0008995570365303312,0.9998766765921004
glass-glass,Exactly 1 Pa (1e-2 mbar),1.0,0.007500637554192106,7.293393163636362,0.885722747888253,0.8917092314781548
glass-glass,Radiation fraction 50%,9.291130311759,0.06968940093727216,7.293393163636362,7.293393163636168,0.5
glass-glass,Radiation fraction 90%,0.9137110736209078,0.006853415592482169,7.293393163636362,0.8103770181817115,0.9
steel-glass,760 Torr (air runs),101324.72,760.0,1.7440722782608695,57.188093820398514,0.029594572772721223
steel-glass,36 Torr (vacuum runs),4799.592000000001,36.0,1.7440722782608695,56.47554559863974,0.029956779894167816
steel-glass,10.7 Torr (A2 phase),1426.5454,10.7,1.7440722782608695,54.78138938885491,0.030854631290441987
steel-glass,Scroll-pump floor (1e-2 mbar),0.999915,0.0075,1.7440722782608695,0.8856486266534377,0.6632157332748215
steel-glass,New chamber spec (1e-5 mbar),0.000999915,7.5e-06,1.7440722782608695,0.0008995570365303312,0.9994844862144281
steel-glass,Exactly 1 Pa (1e-2 mbar),1.0,0.007500637554192106,1.7440722782608695,0.885722747888253,0.6631970404228652
steel-glass,Radiation fraction 50%,1.99955961705461,0.014997971955525794,1.7440722782608695,1.7440722782608697,0.5
steel-glass,Radiation fraction 90%,0.21613382051235508,0.0016211414508659867,1.7440722782608695,0.19378580869564904,0.9
gold-ceramic,760 Torr (air runs),101324.72,760.0,0.17809547507886436,57.188093820398514,0.0031045373113689637
gold-ceramic,36 Torr (vacuum runs),4799.592000000001,36.0,0.17809547507886436,56.47554559863974,0.0031435839198247426
gold-ceramic,10.7 Torr (A2 phase),1426.5454,10.7,0.17809547507886436,54.78138938885491,0.0032404866151818043
gold-ceramic,Scroll-pump floor (1e-2 mbar),0.999915,0.0075,0.17809547507886436,0.8856486266534377,0.16742323157311687
gold-ceramic,New chamber spec (1e-5 mbar),0.000999915,7.5e-06,0.17809547507886436,0.0008995570365303312,0.9949744022172057
gold-ceramic,Exactly 1 Pa (1e-2 mbar),1.0,0.007500637554192106,0.17809547507886436,0.885722747888253,0.16741156640665036
gold-ceramic,Radiation fraction 50%,0.19857939262365187,0.0014894720498016222,0.17809547507886436,0.1780954750788643,0.5
gold-ceramic,Radiation fraction 90%,0.022003315935624834,0.00016503889782350126,0.17809547507886436,0.01978838611987399,0.9
