n,b_per_K,dT_K,pressure_Torr,R_total_percent
0.5,0.0,20.0,1e-06,2.919692656908035
0.5,0.0,20.0,1.052586215278033e-06,2.9196819527585127
0.5,0.0,20.0,1.1079377405933336e-06,2.919670685805631
0.5,0.0,20.0,1.1661999931348297e-06,2.9196588264631007
0.5,0.0,20.0,1.2275260370310584e-06,2.9196463435898323
0.5,0.0,20.0,1.2920769854737643e-06,2.9196332044082673
0.5,0.0,20.0,1.3600224239876796e-06,2.9196193744184695
0.5,0.0,20.0,1.431540855958445e-06,2.9196048173076417
0.5,0.0,20.0,1.5068201715891755e-06,2.9195894948550016
0.5,0.0,20.0,1.5860581415176464e-06,2.919573366831507
0.5,0.0,20.0,1.6694629363909702e-06,2.919556390894562
0.5,0.0,20.0,1.7572536737627194e-06,2.9195385224770165
0.5,0.0,20.0,1.84966099374932e-06,2.9195197146703933
0.5,0.0,20.0,1.9469276649580022e-06,2.919499918102053
0.5,0.0,20.0,2.0493092222782416e-06,2.9194790808058313
0.5,0.0,20.0,2.157074638212219e-06,2.9194571480860354
0.5,0.0,20.0,2.2705070295080322e-06,2.9194340623742265
0.5,0.0,20.0,2.3899044009520287e-06,2.919409763078451
0.5,0.0,20.0,2.5155804282744106e-06,2.9193841864247894
0.5,0.0,20.0,2.6478652822248497e-06,2.9193572652903788
0.5,0.0,20.0,2.787106495983155e-06,2.9193289290278646
0.5,0.0,20.0,2.9336698781837292e-06,2.9192991032806592
0.5,0.0,20.0,3.08794047395258e-06,2.919267709788431
0.5,0.0,20.0,3.2503235764815946e-06,2.9192346661825574
0.5,0.0,20.0,3.421245791797722e-06,2.9191998857708956
0.5,0.0,20.0,3.601156159524261e-06,2.919163277311232
0.5,0.0,20.0,3.7905273325788183e-06,2.919124744772894
0.5,0.0,20.0,3.989856818907076e-06,2.9190841870861295
0.5,0.0,20.0,4.199668288514643e-06,2.919041497878161
0.5,0.0,20.0,4.420512949230803e-06,2.918996565195653
0.5,0.0,20.0,4.652970994818386e-06,2.9189492712126563
0.5,0.0,20.0,4.897653129234339e-06,2.9188994919233657
0.5,0.0,20.0,5.155202171045388e-06,2.918847096818933
0.5,0.0,20.0,5.426294742213763e-06,2.9187919485472724
0.5,0.0,20.0,5.711643045689874e-06,2.9187339025555925
0.5,0.0,20.0,6.011996736481803e-06,2.9186728067138734
0.5,0.0,20.0,6.328144891117253e-06,2.91860850091914
0.5,0.0,20.0,6.6609180806721295e-06,2.918540816679105
0.5,0.0,20.0,7.011190552811697e-06,2.9184695766741875
0.5,0.0,20.0,7.379882528577148e-06,2.918394594296947
0.5,0.0,20.0,7.7679626199515e-06,2.9183156731675153
0.5,0.0,20.0,8.176450374555982e-06,2.918232606624227
0.5,0.0,20.0,8.606418954162537e-06,2.9181451771876032
0.5,0.0,20.0,9.058997954059073e-06,2.918053155997069
0.5,0.0,20.0,9.535376370674463e-06,2.917956302218161
0.5,0.0,20.0,1.0036805725259819e-05,2.917854362419714
0.5,0.0,20.0,1.0564603351832126e-05,2.917747069918497
0.5,0.0,20.0,1.1120155858018576e-05,2.9176341440906306
0.5,0.0,20.0,1.1704922767893621e-05,2.9175152896472767
0.5,0.0,20.0,1.2320440356378824e-05,2.9173901958734927
0.5,0.0,20.0,1.2968325685279527e-05,2.9172585358279157
0.5,0.0,20.0,1.365028085156128e-05,2.9171199655017244
0.5,0.0,20.0,1.4368097459027092e-05,2.9169741229345014
0.5,0.0,20.0,1.512366132514322e-05,2.916820627285155
0.5,0.0,20.0,1.5918957435379262e-05,2.9166590778556323
0.5,0.0,20.0,1.675607515807796e-05,2.9164890530648524
0.5,0.0,20.0,1.7637213733555513e-05,2.916310109370923
0.5,0.0,20.0,1.856468805185294e-05,2.9161217801386474
0.5,0.0,20.0,1.9540934734317207e-05,2.915923574449919
0.5,0.0,20.0,2.0568518534990005e-05,2.9157149758543444
0.5,0.0,20.0,2.16501390786212e-05,2.9154954410569145
0.5,0.0,20.0,2.2788637953008883e-05,2.915264398540085
0.5,0.0,20.0,2.398700617429896e-05,2.9150212471169112
0.5,0.0,20.0,2.524839204485615e-05,2.914765354412152
0.5,0.0,20.0,2.6576109424351078e-05,2.9144960552678345
0.5,0.0,20.0,2.7973646435792565e-05,2.9142126500699472
0.5,0.0,20.0,2.944467462937673e-05,2.91391440299249
0.5,0.0,20.0,3.099305862822877e-05,2.9136005401552145
0.5,0.0,20.0,3.262286628137751e-05,2.9132702476910355
0.5,0.0,20.0,3.4338379350636436e-05,2.912922669719187
0.5,0.0,20.0,3.614410475946777e-05,2.912556906219854
0.5,0.0,20.0,3.804478643338092e-05,2.9121720108060467
0.5,0.0,20.0,4.004541776297339e-05,2.9117669883881536
0.5,0.0,20.0,4.2151254722355876e-05,2.9113407927266355
0.5,0.0,20.0,4.4367829677424884e-05,2.9108923238681195
0.5,0.0,20.0,4.670096592026105e-05,2.9104204254600807
0.5,0.0,20.0,4.915679296783598e-05,2.909923881939136
0.5,0.0,20.0,5.1741762665220194e-05,2.909401415587709
0.5,0.0,20.0,5.446266613559836e-05,2.908851683454028
0.5,0.0,20.0,5.732665162162057e-05,2.908273274130191
0.5,0.0,20.0,6.034124326496378e-05,2.9076647043828174
0.5,0.0,20.0,6.351436087343933e-05,2.9070244156307545
0.5,0.0,20.0,6.685434072757668e-05,2.9063507702646874
0.5,0.0,20.0,7.0369957481348e-05,2.905642047802659
0.5,0.0,20.0,7.407044721456818e-05,2.9048964408764366
0.5,0.0,20.0,7.796553169753365e-05,2.9041120510429064
0.5,0.0,20.0,8.206544393164628e-05,2.9032868844152127
0.5,0.0,20.0,8.638095503312318e-05,2.9024188471081125
0.5,0.0,20.0,9.092340253041709e-05,2.9015057404926603
0.5,0.0,20.0,9.570472014969265e-05,2.9005452562548495
0.5,0.0,20.0,0.0001007374691666083,2.8995349712535257
0.5,0.0,20.0,0.00010603487140676776,2.8984723421731973
0.5,0.0,20.0,0.00011161084398154249,2.897354699967414
0.5,0.0,20.0,0.00011748003585051882,2.896179244089203
0.5,0.0,20.0,0.00012365786630662512,2.8949430365051487
0.5,0.0,20.0,0.00013016056548504753,2.893642995490797
0.5,0.0,20.0,0.00013700521700235475,2.8922758892054645
0.5,0.0,20.0,0.00014420980283785405,2.8908383290452866
0.5,0.0,20.0,0.00015179325057508813,2.88932676277478
0.5,0.0,20.0,0.00015977548312758196,2.88773746743769
0.5,0.0,20.0,0.0001681774710794807,2.8860665420496368
0.5,0.0,20.0,0.00017702128777858126,2.8843099000760652
0.5,0.0,20.0,0.00018633016732650035,2.8824632617012513
0.5,0.0,20.0,0.00019612856561832342,2.880522145895026
0.5,0.0,20.0,0.00020644222459210038,2.8784818622868746
0.5,0.0,20.0,0.0002172982398569764,2.876337502858628
0.5,0.0,20.0,0.000228725131877633,2.87408393346964
0.5,0.0,20.0,0.00024075292090204643,2.871715785231599
0.5,0.0,20.0,0.0002534132058294167,2.869227445752509
0.5,0.0,20.0,0.00026673924722545863,2.8666130502734255
0.5,0.0,20.0,0.00028076605470315704,2.863866472724985
0.5,0.0,20.0,0.00029553047889854095,2.860981316734801
0.5,0.0,20.0,0.0003110713082831198,2.8579509066217756
0.5,0.0,20.0,0.00032742937106731496,2.8547682784179518
0.5,0.0,20.0,0.0003446476424626117,2.851426170963789
