n,b_per_K,dT_K,R_rad,q_rad_fwd_W_m2,q_rad_rev_W_m2
-0.5,0.0,5.0,-0.007167412517065985,8.689637411587954,8.752369252522467
-0.5,0.0,10.0,-0.014284205549296436,17.32036226359843,17.57135511179499
-0.5,0.0,20.0,-0.02837030797104112,34.42003508664188,35.42505480124419
-0.5,0.0,40.0,-0.05598196528259691,68.07363122104455,72.11051983919222
-0.5,-0.0002,5.0,-0.006927563793907132,8.690682675701364,8.75130791959448
-0.5,-0.0002,10.0,-0.013807858598676614,17.324512539622983,17.5670762443978
-0.5,-0.0002,20.0,-0.027430760375928065,34.43640041352898,35.407659434961886
-0.5,-0.0002,40.0,-0.05415350803022334,68.13736554143499,72.03850320313101
0.0,0.0,5.0,0.0,8.720832864130436,8.720832864130436
0.0,0.0,10.0,0.0,17.44449456521739,17.44449456521739
0.0,0.0,20.0,0.0,34.911619826086955,34.911619826086955
0.0,0.0,40.0,0.0,70.0042852173913,70.0042852173913
0.0,-0.0002,5.0,0.000241575127811533,8.721885647082791,8.719779165316442
0.0,-0.0002,10.0,0.0004832089714508214,17.44870455039096,17.440277251958225
0.0,-0.0002,20.0,0.0009666542934916311,34.9284560625,34.89472492682927
0.0,-0.0002,40.0,0.0019342659074026436,70.07168776429808,69.93641214659685
0.5,0.0,5.0,0.007219159438158762,8.752137809694952,8.68940759087329
0.5,0.0,10.0,0.014491235154663551,17.56949659522467,17.318529708683116
0.5,0.0,20.0,0.02919896226581975,35.41006715194067,34.40546332653124
0.5,0.0,40.0,0.05930409597282238,71.98844447805145,67.95824235149412
0.5,-0.0002,5.0,0.007462476475974089,8.753198164967555,8.688361471868973
0.5,-0.0002,10.0,0.01498142982233186,17.573767138943612,17.314373073820498
0.5,-0.0002,20.0,0.030193707056971997,35.42738769510445,34.389054652947166
0.5,-0.0002,40.0,0.061351959876911666,72.05972395220431,67.89427699418513
1.0,0.0,5.0,0.014490437376804444,8.783552614631613,8.65809305935252
1.0,0.0,10.0,0.029192484366279636,17.695374161073826,17.19345450911417
1.0,0.0,20.0,0.0592506534998547,35.91546831948882,33.90648681765835
1.0,0.0,40.0,0.12212643678160928,74.02752000000001,65.9707476568502
1.0,-0.0002,5.0,0.014735511985506156,8.784620596079654,8.657054466233292
1.0,-0.0002,10.0,0.029689790897480695,17.69970612460924,17.18935768915619
1.0,-0.0002,20.0,0.06027451258396144,35.93328694112393,33.89055052691218
1.0,-0.0002,40.0,0.12429633293089193,74.10289676407699,65.91046736842104
1.5,0.0,5.0,0.021814208034145466,8.815077646387087,8.626888897294053
1.5,0.0,10.0,0.04410677463513246,17.822133104879597,17.06926296987932
1.5,0.0,20.0,0.09017984010620994,36.42791566679184,33.414593011775814
1.5,0.0,40.0,0.18867458625074351,76.12295586801204,64.04019800584378
1.5,-0.0002,5.0,0.022061056031766446,8.816153308242189,8.625857776512499
1.5,-0.0002,10.0,0.04461132174128313,17.826527361538826,17.065225113416766
1.5,-0.0002,20.0,0.09123387896445578,36.446246523295414,33.399115648683555
1.5,-0.0002,40.0,0.19097564930900268,76.20266257985458,63.98339262777281
